Timestamp,Voltage (V),Current (A),Power (W)
2025-06-22T06:25:57.178Z,0.21,0.42,0
2025-06-22T06:25:58.184Z,0.21,0.42,0
2025-06-22T06:25:59.194Z,0.21,0.42,0
2025-06-22T06:26:00.202Z,0.21,0.42,0
2025-06-22T06:26:01.204Z,0.21,0.42,0
2025-06-22T06:26:02.214Z,0.21,0.42,0
2025-06-22T06:26:03.224Z,0.21,0.42,0
2025-06-22T06:26:04.234Z,0.21,0.42,0
2025-06-22T06:26:05.239Z,0.21,0.42,0
2025-06-22T06:26:06.241Z,0.21,0.42,0
2025-06-22T06:26:07.246Z,0.21,0.42,0
2025-06-22T06:26:08.250Z,0.21,0.42,0
2025-06-22T06:26:09.255Z,0.21,0.42,0
2025-06-22T06:26:10.255Z,0.21,0.42,0
2025-06-22T06:26:11.256Z,0.21,0.42,0
2025-06-22T06:26:12.257Z,0.21,0.42,0
2025-06-22T06:26:13.260Z,0.21,0.42,0
2025-06-22T06:26:14.262Z,0.21,0.42,0
2025-06-22T06:26:15.264Z,0.21,0.42,0
2025-06-22T06:26:16.272Z,0.21,0.42,0
2025-06-22T06:26:17.281Z,0.21,0.42,0
2025-06-22T06:26:18.283Z,0.21,0.42,0
2025-06-22T06:26:19.282Z,0.21,0.42,0
2025-06-22T06:26:20.293Z,0.21,0.42,0
2025-06-22T06:26:21.304Z,0.21,0.42,0
2025-06-22T06:26:22.311Z,0.21,0.42,0
2025-06-22T06:26:23.314Z,0.21,0.42,0
2025-06-22T06:26:24.323Z,0.21,0.42,0
2025-06-22T06:26:25.328Z,0.21,0.42,0
2025-06-22T06:26:26.330Z,0.21,0.42,0
2025-06-22T06:26:27.333Z,0.21,0.42,0
2025-06-22T06:26:28.334Z,0.21,0.42,0
2025-06-22T06:26:29.334Z,0.21,0.42,0
2025-06-22T06:26:30.335Z,0.21,0.42,0
2025-06-22T06:26:31.336Z,0.21,0.42,0
2025-06-22T06:26:32.345Z,0.21,0.42,0
2025-06-22T06:26:33.353Z,0.21,0.42,0
2025-06-22T06:26:34.356Z,0.21,0.42,0
2025-06-22T06:26:35.365Z,0.21,0.42,0
2025-06-22T06:26:36.373Z,0.21,0.42,0
2025-06-22T06:26:37.376Z,0.21,0.42,0
2025-06-22T06:26:38.379Z,0.21,0.42,0
2025-06-22T06:26:39.381Z,0.21,0.42,0
2025-06-22T06:26:40.387Z,0.21,0.42,0
2025-06-22T06:26:41.388Z,0.21,0.42,0
2025-06-22T06:26:42.389Z,0.21,0.42,0
2025-06-22T06:26:43.393Z,0.21,0.42,0
2025-06-22T06:26:44.407Z,0.21,0.42,0
2025-06-22T06:28:11.159Z,0.21,0.42,0
2025-06-22T06:28:12.161Z,0.21,0.42,0
2025-06-22T06:28:13.168Z,0.21,0.42,0
2025-06-22T06:28:14.170Z,0.21,0.42,0
2025-06-22T06:28:15.171Z,0.21,0.42,0
2025-06-22T06:28:16.174Z,0.21,0.42,0
2025-06-22T06:28:17.182Z,0.21,0.42,0
2025-06-22T06:28:18.192Z,0.21,0.42,0
2025-06-22T06:28:19.199Z,0.21,0.42,0
2025-06-22T06:28:20.199Z,0.21,0.42,0
2025-06-22T06:28:21.210Z,0.21,0.42,0
2025-06-22T06:28:22.214Z,0.21,0.42,0
2025-06-22T06:28:23.227Z,0.21,0.42,0
2025-06-22T06:28:24.230Z,0.21,0.42,0
2025-06-22T06:28:25.235Z,0.21,0.42,0
2025-06-22T06:28:26.241Z,0.21,0.42,0
2025-06-22T06:28:27.250Z,0.21,0.42,0
2025-06-22T06:28:28.252Z,0.21,0.42,0
2025-06-22T06:28:29.263Z,0.21,0.42,0
2025-06-22T06:28:30.275Z,0.21,0.42,0
2025-06-22T06:28:31.290Z,0.21,0.42,0
2025-06-22T06:28:32.296Z,0.21,0.42,0
2025-06-22T06:28:33.301Z,0.21,0.42,0
2025-06-22T06:28:34.315Z,0.21,0.42,0
2025-06-22T06:28:35.316Z,0.21,0.42,0
2025-06-22T06:28:36.325Z,0.21,0.42,0
2025-06-22T06:28:37.326Z,0.21,0.42,0
2025-06-22T06:28:38.327Z,0.21,0.42,0
2025-06-22T06:28:39.336Z,0.21,0.42,0
2025-06-22T06:28:40.341Z,0.21,0.42,0
2025-06-22T06:28:41.341Z,0.21,0.42,0
2025-06-22T06:28:42.342Z,0.21,0.42,0
2025-06-22T06:28:43.341Z,0.21,0.42,0
2025-06-22T06:28:44.341Z,0.21,0.42,0
2025-06-22T06:28:45.345Z,0.21,0.42,0
2025-06-22T06:28:46.347Z,0.21,0.42,0
2025-06-22T06:28:47.349Z,0.21,0.42,0
2025-06-22T06:28:48.359Z,0.21,0.42,0
2025-06-22T06:28:49.360Z,0.21,0.42,0
2025-06-22T06:28:50.371Z,0.21,0.42,0
2025-06-22T06:28:51.385Z,0.21,0.42,0
2025-06-22T06:28:52.395Z,0.21,0.42,0
2025-06-22T06:28:53.397Z,0.21,0.42,0
2025-06-22T06:28:54.404Z,0.21,0.42,0
2025-06-22T06:28:55.409Z,0.21,0.42,0
2025-06-22T06:28:56.410Z,0.21,0.42,0
2025-06-22T06:28:57.412Z,0.21,0.42,0
2025-06-22T06:28:58.418Z,0.21,0.42,0
2025-06-22T06:28:59.431Z,0.21,0.42,0
2025-06-22T06:29:00.438Z,0.21,0.42,0
2025-06-22T06:29:01.443Z,0.21,0.42,0
2025-06-22T06:29:02.453Z,0.21,0.42,0
2025-06-22T06:29:03.460Z,0.21,0.42,0
2025-06-22T06:29:04.464Z,0.21,0.42,0
